pdf_url,accepted,reason
https://static.cninfo.com.cn/finalpage/2025-03-27/1222910807.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2025-03-27/1222927163.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-03-28/1222950863.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-03-31/1222972198.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-01/1222970571.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-02/1222980104.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-04-03/1223006581.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-04/1223005853.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-04-14/1223096910.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-04-19/1223157743.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-21/1223195176.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-04-24/1223270183.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-26/1223326717.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-04-26/1223311289.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-26/1223317366.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-04-29/1223394913.pdf,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-29/1223386991.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-04-29/1223367861.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-05-06/1223478580.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-05-07/1223478081.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-05-07/1223478710.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-05-07/1223478709.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-05-07/1223478345.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-05-08/1223490717.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-10/1223514039.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-15/1223544155.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-21/1223609754.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-24/1223646684.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-29/1223712631.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-05-30/1223734985.pdf,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-05-31/1223736338.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-05-31/1223734377.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-06-03/1223740919.pdf,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-06-06/1223787160.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-06-06/1223802622.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-06-07/1223804284.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-06-10/1223825720.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2025-06-24/1223955917.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-06-25/1223974748.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-06-25/1223974749.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-06-25/1223974794.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-06-27/1224016774.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-02/1224057657.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-07-02/1224057658.PDF,0,同日重复原件
https://static.cninfo.com.cn/finalpage/2025-07-04/1224084614.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-11/1224146555.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-07-12/1224146173.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-12/1224146138.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2025-07-16/1224178014.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-07-24/1224281945.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-25/1224300004.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-07-26/1224301240.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-26/1224299304.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-26/1224300844.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-07-26/1224299346.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-07-29/1224317344.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-08-04/1224377787.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-08-06/1224414668.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-08-09/1224442029.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-08-12/1224463083.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-08-22/1224535854.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-08-25/1224573426.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-08-26/1224566314.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2025-08-27/1224590830.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-02/1224632948.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-06/1224642672.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-08/1224643171.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-11/1224650094.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-19/1224672253.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-27/1224687282.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-09-29/1224692247.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-09-30/1224690072.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-09-30/1224691588.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-10-01/1224696722.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-10-15/1224712442.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-10-17/1224717394.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-10-31/1224780380.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-11-01/1224780591.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-11-01/1224781406.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-11-07/1224793423.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-11-08/1224792786.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-08/1224793355.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-11-08/1224792448.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-11-17/1224810197.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-22/1224820905.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-22/1224819628.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-29/1224836064.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-11-29/1224834918.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-29/1224835891.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-11-29/1224835647.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-12-04/1224847076.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-12-13/1224873610.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-20/1224888434.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-26/1224899550.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-26/1224900155.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-26/1224902427.pdf,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-27/1224902468.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-27/1224902453.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-29/1224902529.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-30/1224905273.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-12-31/1224913263.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2025-12-31/1224913103.PDF,1,公司涉嫌信披违法
