date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-04-26,sz.300470,2024-04-25,https://static.cninfo.com.cn/finalpage/2024-04-25/1219800823.PDF,employee,pending,
2024-04-26,sz.301171,2024-04-25,https://static.cninfo.com.cn/finalpage/2024-04-25/1219799366.PDF,employee,pending,
2024-04-29,sh.603153,2024-04-26,https://static.cninfo.com.cn/finalpage/2024-04-26/1219820148.PDF,employee,pending,
2024-04-29,sz.002829,2024-04-26,https://static.cninfo.com.cn/finalpage/2024-04-26/1219842318.PDF,employee,pending,
2024-04-29,sz.300037,2024-04-26,https://static.cninfo.com.cn/finalpage/2024-04-26/1219819341.PDF,cancel,pending,
2024-04-29,sz.300759,2024-04-26,https://static.cninfo.com.cn/finalpage/2024-04-26/1219827524.PDF,maintain,pending,
2024-04-30,sh.603052,2024-04-29,https://static.cninfo.com.cn/finalpage/2024-04-29/1219890791.PDF,employee,pending,
2024-04-30,sh.688202,2024-04-29,https://static.cninfo.com.cn/finalpage/2024-04-29/1219892433.PDF,employee,pending,
2024-04-30,sz.002488,2024-04-29,https://static.cninfo.com.cn/finalpage/2024-04-29/1219863058.PDF,employee,pending,
2024-04-30,sz.300443,2024-04-29,https://static.cninfo.com.cn/finalpage/2024-04-29/1219906724.PDF,maintain,pending,
2024-04-30,sz.301332,2024-04-29,https://static.cninfo.com.cn/finalpage/2024-04-29/1219853380.PDF,unknown,pending,
2024-05-06,sh.600438,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219915223.PDF,employee,pending,
2024-05-06,sh.600887,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219916431.PDF,cancel,pending,
2024-05-06,sz.000561,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219918080.PDF,cancel,pending,
2024-05-06,sz.002103,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219909924.PDF,employee,pending,
2024-05-06,sz.002352,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219914138.PDF,unknown,pending,
2024-05-08,sz.301313,2024-05-07,https://static.cninfo.com.cn/finalpage/2024-05-07/1219997830.PDF,maintain,pending,
2024-05-16,sz.300777,2024-05-15,https://static.cninfo.com.cn/finalpage/2024-05-15/1220063136.PDF,employee,pending,
2024-05-16,sz.300790,2024-05-15,https://static.cninfo.com.cn/finalpage/2024-05-15/1220064328.PDF,employee,pending,
2024-05-17,sh.600276,2024-05-16,https://static.cninfo.com.cn/finalpage/2024-05-16/1220064005.PDF,employee,pending,
